Threads, Generation-Gap, Evaluations, Time
2, 4, 44032, 16.216554
2, 4, 33792, 17.365971
2, 4, 103424, 28.541223
2, 4, 44032, 15.856918
2, 4, 48128, 16.919825
2, 4, 263168, 51.037591
2, 4, 52224, 22.394623
2, 4, 25600, 12.878991
2, 4, 443392, 111.161668
2, 4, 48128, 19.125507
2, 4, 41984, 14.125701
2, 4, 19456, 10.952101
2, 4, 125952, 33.543703
2, 8, 83968, 28.643086
2, 8, 145408, 38.279021
2, 8, 96256, 32.330326
2, 8, 96256, 33.645575
2, 8, 63488, 23.713116
2, 8, 169984, 36.667087
2, 8, 247808, 55.832268
2, 8, 477184, 82.91906
2, 8, 223232, 63.801315
2, 8, 210944, 48.463372
2, 8, 165888, 51.019391
2, 8, 190464, 48.797094
2, 8, 67584, 29.909038
2, 8, 92160, 32.776761
2, 8, 63488, 28.511748
2, 16, 258048, 84.888638
2, 16, 118784, 38.830718
2, 16, 946176, 316.414947
2, 16, 364544, 144.337295
2, 16, 290816, 90.165418
2, 16, 118784, 39.048363
2, 16, 208896, 69.161428
2, 16, 233472, 82.298012
2, 16, 274432, 89.354227
2, 16, 159744, 65.088381
2, 16, 118784, 46.239963
2, 16, 536576, 145.105674
2, 16, 110592, 37.803122
2, 16, 241664, 87.704031
2, 16, 217088, 63.651928
2, 32, 942080, 297.060826
2, 32, 925696, 352.898317
2, 32, 1204224, 473.439284
2, 32, 614400, 215.220552
2, 32, 2383872, 797.917206
2, 32, 860160, 317.671739
2, 32, 385024, 132.937743
2, 32, 319488, 108.345204
2, 32, 745472, 303.749148
2, 32, 212992, 86.08946
2, 32, 1056768, 432.027897
2, 32, 368640, 142.952601
2, 32, 909312, 328.106145
2, 32, 221184, 85.988604
